id,institution,rank,city,state,website,institution_level,private,graduate_offering,urbanization_degree,distance_education_offered,undergraduate_application_fee,graduate_application_fee,graduation_rate,recommendations,admission_test_scores,TOEFL,total_applicants,total_admissions,acceptance_rate,total_enrolled,yield,SAT_reading_writing_lower,SAT_reading_writing_upper,SAT_math_lower,SAT_math_upper,ACT_composite_lower,ACT_composite_upper,ACT_english_lower,ACT_english_upper,ACT_math_lower,ACT_math_upper,out_of_state_tuition,out_of_state_fees,in_state_tuition,in_state_fees,out_of_state_total,in_state_total,address,city_id,location
731,Wichita State University,150,Wichita,Kansas,www.wichita.edu/,Four or more years,FALSE,TRUE,City,TRUE,40,60,21,Not Required,Required,Required,7655,6096,79.63,1579,25.9,510,620,510,630,20,27,19,26,18,26,16208,1590,6843,1590,17798,8433,"1845 N. Fairmount, Wichita, Kansas 67260-0124",3498,"(37.71165759183673, -97.31598804081632)"
330,Missouri State University-Springfield,150,Springfield,Missouri,www.missouristate.edu/,Four or more years,FALSE,TRUE,City,TRUE,0,55,30,Not Required,Required,Required,9591,8303,86.57,2649,31.9,510,610,510,610,21,27,21,27,19,26,15510,1098,6840,1098,16608,7938,"901 S National Avenue, Springfield, Missouri 65897",7754,"(37.2031619, -93.2800745)"
719,Western Colorado University,150,Gunnison,Colorado,www.western.edu/,Four or more years,FALSE,TRUE,Town,TRUE,30,50,24,Recommended,Required,Required,2625,2323,88.5,420,18.08,500,600,500,590,20,26,18,25,18,26,18600,3830,6816,3830,22430,10646,"1 Western Way, Gunnison, Colorado 81231",34220,"(38.55033015, -106.91916588099227)"
562,University of Central Arkansas,150,Conway,Arkansas,www.uca.edu/,Four or more years,FALSE,TRUE,City,TRUE,25,45,23,Not Required,Required,Required,5642,5291,93.78,1715,32.41,480,580,470,570,20,27,20,29,18,25,13620,2528,6810,2528,16148,9338,"201 Donaghey Ave, Conway, Arkansas 72035-0001",9685,"(35.07764105, -92.45799369818661)"
524,The University of Texas at Tyler,150,Tyler,Texas,www.uttyler.edu/,Four or more years,FALSE,TRUE,City,TRUE,60,50,26,Not Required,Required,Required,3346,3066,91.63,1065,34.74,520,620,510,600,20,26,20,29,18,25,21364,2372,6774,2372,23736,9146,"3900 University Blvd, Tyler, Texas 75799-6699",10578,"(32.316307800000004, -95.25369943794593)"
31,Austin Peay State University,150,Clarksville,Tennessee,www.apsu.edu/,Four or more years,FALSE,TRUE,City,TRUE,25,45,23,Not Required,Required,Required,7346,6696,91.15,1438,21.48,463,618,455,570,19,24,18,24,16,23,12264,1583,6720,1583,13847,8303,"601 College St, Clarksville, Tennessee 37044",11786,"(36.531061, -87.355897)"
486,Summit Christian College,150,Gering,Nebraska,www.summitcc.edu/,Four or more years,TRUE,FALSE,Town,TRUE,35,0,60,Required,Required,Required,14,5,35.71,5,100,0,0,0,0,18,21,17,20,20,24,6720,850,6720,850,7570,7570,"2025 21st Street, Gering, Nebraska 69341",37785,"(41.8293566, -103.6757197)"
199,Frostburg State University,150,Frostburg,Maryland,www.frostburg.edu/,Four or more years,FALSE,TRUE,Suburb,TRUE,45,45,28,Recommended,Required,Required,4335,3191,73.61,628,19.68,460,570,450,560,17,23,15,23,16,24,20800,2710,6700,2710,23510,9410,"101 Braddock Road, Frostburg, Maryland 21532-1099",33559,"(39.6476066, -78.94059833960048)"
688,University of Wisconsin-Stevens Point,150,Stevens Point,Wisconsin,www.uwsp.edu/,Four or more years,FALSE,TRUE,Town,TRUE,25,56,34,Recommended,Considered,Required,5882,5090,86.54,1838,36.11,0,0,0,0,19,24,17,24,17,24,15402,1602,6698,1602,17004,8300,"2100 Main St, Stevens Point, Wisconsin 54481-3897",7516,"(44.52434205, -89.56884614958895)"
326,Minot State University,150,Minot,North Dakota,www.minotstateu.edu/,Four or more years,FALSE,TRUE,Town,TRUE,35,35,24,Not Required,Required,Required,750,580,77.33,396,68.28,440,540,440,530,18,24,17,24,16,22,6691,1205,6691,1205,7896,7896,"500 University Ave W, Minot, North Dakota 58707",12029,"(48.245163, -101.302101)"
565,University of Central Oklahoma,150,Edmond,Oklahoma,www.uco.edu/,Four or more years,FALSE,TRUE,Suburb,TRUE,50,60,13,Not Required,Required,Required,4732,3809,80.49,1844,48.41,0,0,0,0,18,24,17,24,16,23,17573,1131,6686,1131,18704,7817,"100 N University Dr, Edmond, Oklahoma 73034",34359,"(35.655730250000005, -97.47032859449375)"
636,University of North Texas at Dallas,150,Dallas,Texas,untdallas.edu/,Four or more years,FALSE,TRUE,City,TRUE,40,50,19,Considered,Required,Recommended,2324,2161,92.99,434,20.08,330,460,400,510,16,21,0,0,0,0,20109,1678,6677,1466,21787,8143,"7300 University Hills Drive, Dallas, Texas 75241",3411,"(32.659429200000005, -96.803377524705)"
744,Wright State University-Lake Campus,150,Celina,Ohio,lake.wright.edu/,Four or more years,FALSE,FALSE,Rural,TRUE,0,40,14,Considered,Required,Considered,511,509,99.61,281,55.21,465,615,515,575,18,24,16,23,17,25,16084,50,6666,50,16134,6716,"7600 Lake Campus Drive, Celina, Ohio 45822-2952",13250,"(40.5464385, -84.51009816291707)"
485,Sul Ross State University,150,Alpine,Texas,www.sulross.edu/,Four or more years,FALSE,TRUE,Town,TRUE,50,25,13,Not Required,Considered,Required,1012,818,80.83,213,26.04,430,527,420,520,15,21,13,20,15,21,18817,2230,6547,2230,21047,8777,"HWY 90 East, Alpine, Texas 79832",33706,"(30.3630675, -103.6507273)"
352,North Carolina State University at Raleigh,150,Raleigh,North Carolina,www.ncsu.edu/,Four or more years,FALSE,TRUE,City,TRUE,85,75,54,Not Required,Required,Required,31487,14553,46.22,4747,32.62,610,690,620,720,27,32,25,33,25,31,26654,2566,6535,2566,29220,9101,"2101 Hillsborough Street, Raleigh, North Carolina 27695-7001",3470,"(35.786319, -78.663314)"
689,University of Wisconsin-Superior,150,Superior,Wisconsin,www.uwsuper.edu/,Four or more years,FALSE,TRUE,Suburb,TRUE,25,56,18,Not Required,Considered,Required,1067,919,86.13,276,30.03,0,0,0,0,18,24,16,23,17,23,14108,1605,6535,1605,15713,8140,"1605 Catlin Ave, Superior, Wisconsin 54880-4500",33354,"(46.717808899999994, -92.08842199623356)"
96,Central Washington University,150,Ellensburg,Washington,www.cwu.edu/,Four or more years,FALSE,TRUE,Town,TRUE,50,75,29,Recommended,Required,Not Required,13263,11405,85.99,1723,15.11,470,580,460,570,17,24,15,23,16,24,22551,1969,6475,1969,24520,8444,"400 East University Way, Ellensburg, Washington 98926-7501",35641,"(47.00646895, -120.53673039883022)"
146,Dickinson State University,150,Dickinson,North Dakota,www.dickinsonstate.edu/,Four or more years,FALSE,TRUE,Town,TRUE,35,35,16,Not Required,Required,Required,506,499,98.62,244,48.9,450,532,470,550,17,22,15,21,17,23,8294,1648,6474,1648,9942,8122,"291 Campus Drive, Dickinson, North Dakota 58601-4896",9911,"(46.882513903178825, -102.79916355196949)"
625,University of New Mexico-Main Campus,150,Albuquerque,New Mexico,www.unm.edu/,Four or more years,FALSE,TRUE,City,TRUE,25,50,22,Not Required,Required,Required,10436,10054,96.34,2790,27.75,520,630,510,620,17,25,17,25,17,25,22801,1698,6463,1698,24499,8161,"1700 Lomas Blvd NE, Albuquerque, New Mexico 87106",3387,"(35.090176, -106.62518)"
687,University of Wisconsin-River Falls,150,River Falls,Wisconsin,www.uwrf.edu/,Four or more years,FALSE,TRUE,Town,TRUE,25,56,35,Not Required,Considered,Required,2782,2138,76.85,1088,50.89,0,0,0,0,19,25,17,24,18,25,14001,1635,6428,1635,15636,8063,"410 S 3rd St, River Falls, Wisconsin 54022-5001",14143,"(44.855324, -92.624112)"
685,University of Wisconsin-Oshkosh,150,Oshkosh,Wisconsin,www.uwosh.edu/,Four or more years,FALSE,TRUE,City,TRUE,25,56,19,Not Required,Considered,Required,6340,4982,78.58,1854,37.21,0,0,0,0,19,24,17,23,17,24,13995,1295,6422,1295,15290,7717,"800 Algoma Blvd, Oshkosh, Wisconsin 54901",10338,"(44.02519995, -88.55108993473048)"
461,Southern Arkansas University Main Campus,150,Magnolia,Arkansas,www.saumag.edu/,Four or more years,FALSE,TRUE,Town,TRUE,0,25,26,Not Required,Required,Required,3426,2348,68.53,776,33.05,0,0,0,0,19,25,19,26,17,25,11460,2660,6420,2660,14120,9080,"100 University, Magnolia, Arkansas 71753",34179,"(33.2898495, -93.2360008)"
115,Colorado State University Pueblo,150,Pueblo,Colorado,www.csupueblo.edu/,Four or more years,FALSE,TRUE,City,TRUE,25,35,18,Not Required,Required,Required,2181,2057,94.31,574,27.9,460,560,450,550,18,23,16,23,17,24,12907,2242,6349,2242,15149,8591,"2200 Bonforte Blvd, Pueblo, Colorado 81001-4901",12919,"(38.304032, -104.580883)"
620,University of Nebraska at Omaha,150,Omaha,Nebraska,www.unomaha.edu/,Four or more years,FALSE,TRUE,City,TRUE,45,45,21,Recommended,Required,Required,8864,7294,82.29,2223,30.48,0,0,0,0,18,26,17,26,17,25,19926,1792,6344,1792,21718,8136,"6001 Dodge St, Omaha, Nebraska 68182-0225",3461,"(41.259514, -96.0051)"
686,University of Wisconsin-Parkside,150,Kenosha,Wisconsin,www.uwp.edu/,Four or more years,FALSE,TRUE,Suburb,TRUE,25,56,17,Not Required,Considered,Required,2048,1358,66.31,541,39.84,0,0,0,0,17,23,16,23,16,23,14568,1146,6298,1146,15714,7444,"900 Wood Rd, Kenosha, Wisconsin 53144",8358,"(42.6476803, -87.8541385)"
