,id,institution,rank,city,state,state_full,website,institution_level,institution_control,degree_graning_status,undergraduate_offering,graduate_offering,urbanization_degree,distance_education_offered,distance_education_programs_offered,undergraduate_application_fee,graduate_application_fee,graduation_rate,recommendations,admission_test_scores,TOEFL,total_applicants,total_admissions,acceptance_rate,total_enrolled,yield,SAT_reading_writing_lower,SAT_reading_writing_upper,SAT_math_lower,SAT_math_upper,ACT_composite_lower,ACT_composite_upper,ACT_english_lower,ACT_english_upper,ACT_math_lower,ACT_math_upper,out_of_state_tuition,out_of_state_fees,in_state_tuition,in_state_fees,out_of_state_total,in_state_total,address,city_id,location,lat,lon
169,170,Emmaus Bible College,150+,Dubuque,IA,Iowa,www.emmaus.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,City: Small,Yes,0,0,,33.0,Required,Required,Required,114,105,92.11,44,41.9,490.0,640.0,430.0,560.0,18.0,28.0,18.0,30.0,16.0,24.0,19250.0,0.0,19250.0,0.0,19250,19250,"2570 Asbury Rd, Dubuque, Iowa 52001-3096",33898,"(42.5087374, -90.7060749086276)",42.5087374, -90.7060749086276
170,171,Emory University,21,Atlanta,GA,Georgia,www.emory.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,0,75,75.0,83.0,Required,Required,Recommended,28211,5407,19.17,1344,24.86,680.0,740.0,700.0,790.0,31.0,34.0,,,,,53070.0,798.0,53070.0,798.0,53868,53868,"201 Dowman Drive, Atlanta, Georgia 30322",3391,"(33.7944915, -84.3233959)",33.7944915, -84.3233959
171,172,Fairfield University,150+,Fairfield,CT,Connecticut,fairfield.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,60,65.0,78.0,Required,Considered,Required,12586,7065,56.13,1118,15.82,600.0,670.0,590.0,670.0,27.0,30.0,,,,,50550.0,775.0,50550.0,775.0,51325,51325,"1073 N Benson Rd, Fairfield, Connecticut 06824-5195",11975,"(41.15967565, -73.25740310197213)",41.15967565, -73.25740310197213
172,173,Fairmont State University,150+,Fairmont,WV,West Virginia,www.fairmontstate.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Distant,Yes,1,0,50.0,19.0,Not Required,Required,Required,2439,2301,94.34,800,34.77,460.0,570.0,440.0,540.0,18.0,22.0,16.0,22.0,16.0,22.0,14752.0,2062.0,5888.0,1850.0,16814,7738,"1201 Locust Ave, Fairmont, West Virginia 26554-2470",7500,"(39.48538535, -80.16187825061786)",39.48538535, -80.16187825061786
173,174,Faith Baptist Bible College and Theological Seminary,150+,Ankeny,IA,Iowa,faith.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,0,45,45.0,38.0,Required,Considered,Considered,250,169,67.6,95,56.21,510.0,660.0,470.0,690.0,20.0,26.0,20.0,28.0,17.0,24.0,16990.0,660.0,16990.0,660.0,17650,17650,"1900 NW 4th St, Ankeny, Iowa 50023-2152",12497,"(41.735539, -93.625908)",41.735539, -93.625908
174,175,Farmingdale State College,150+,Farmingdale,NY,New York,www.farmingdale.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,50,50.0,32.0,Recommended,Required,Required,7156,4305,60.16,1568,36.42,490.0,570.0,500.0,580.0,19.0,24.0,,,,,16980.0,1325.0,7070.0,1325.0,18305,8395,"2350 Broadhollow Road, Farmingdale, New York 11735-1021",34129,"(40.7549729, -73.42767924082861)",40.7549729, -73.42767924082861
175,176,Faulkner University,150+,Montgomery,AL,Alabama,www.faulkner.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,25,35.0,11.0,Recommended,Required,Recommended,1572,1191,75.76,288,24.18,515.0,590.0,505.0,585.0,18.0,23.0,17.0,24.0,16.0,22.0,21000.0,1990.0,21000.0,1990.0,22990,22990,"5345 Atlanta Hwy, Montgomery, Alabama 36109-3390",3453,"(32.3854781, -86.21710609904724)",32.3854781, -86.21710609904724
176,177,Fayetteville State University,150+,Fayetteville,NC,North Carolina,www.uncfsu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,50,50.0,16.0,Recommended,Required,Required,4611,3660,79.38,736,20.11,430.0,510.0,410.0,490.0,16.0,20.0,14.0,19.0,16.0,19.0,14590.0,2327.0,2982.0,2327.0,16917,5309,"1200 Murchison Rd, Fayetteville, North Carolina 28301-4298",9246,"(35.0726, -78.8924739)",35.0726, -78.8924739
177,178,Ferris State University,150+,Big Rapids,MI,Michigan,www.ferris.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Distant,Yes,1,0,0.0,30.0,Not Required,Required,Recommended,8581,7076,82.46,1540,21.76,470.0,580.0,470.0,580.0,18.0,26.0,17.0,25.0,17.0,25.0,12376.0,0.0,12376.0,0.0,12376,12376,"1201 S State St, Big Rapids, Michigan 49307-2251",12573,"(43.684972450000004, -85.48277809242535)",43.684972450000004, -85.48277809242535
178,179,Fisher College,150+,Boston,MA,Massachusetts,www.fisher.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,50,0.0,14.0,Not Required,Considered,Required,2612,2030,77.72,188,9.26,410.0,530.0,410.0,530.0,13.0,20.0,,,,,31700.0,1000.0,31700.0,1000.0,32700,32700,"118 Beacon Street, Boston, Massachusetts 02116",3400,"(42.355367900000005, -71.07373780610305)",42.355367900000005, -71.07373780610305
